2024-04-30 21:12:31.803026 - 
2024-04-30 21:13:06.453829 - 5
2024-04-30 21:13:08.364749 - 6
2024-04-30 21:13:09.245889 - Key.backspace
2024-04-30 21:13:09.415322 - Key.ctrl_l
2024-04-30 21:13:10.678290 - \x13
2024-04-30 21:13:10.785843 - Key.ctrl_l
2024-04-30 21:13:13.790839 - \x13
2024-04-30 21:13:13.901957 - Key.ctrl_l
2024-04-30 21:13:21.897219 - \x13
2024-04-30 21:13:22.267349 - Key.backspace
2024-04-30 21:13:23.149182 - Key.backspace
2024-04-30 21:13:23.277752 - Key.ctrl_l
2024-04-30 21:13:24.349674 - \x13
2024-04-30 21:13:24.468305 - Key.ctrl_l
2024-04-30 21:24:13.103095 - 
2024-04-30 21:24:13.471217 - w
2024-04-30 21:24:13.733003 - a
2024-04-30 21:24:14.037275 - s
2024-04-30 21:24:14.699852 - d
2024-04-30 21:24:14.869921 - w
2024-04-30 21:24:15.000602 - a
2024-04-30 21:24:15.092297 - s
2024-04-30 21:24:15.326166 - d
2024-04-30 21:24:15.449555 - a
2024-04-30 21:24:15.567045 - s
2024-04-30 21:24:15.692554 - d
2024-04-30 21:24:15.732831 - w
2024-04-30 21:24:15.873398 - a
2024-04-30 21:24:15.977898 - s
2024-04-30 21:24:16.129278 - d
2024-04-30 21:24:16.165189 - w
2024-04-30 21:24:16.325184 - a
2024-04-30 21:24:16.448526 - s
2024-04-30 21:24:16.602821 - d
2024-04-30 21:24:16.641612 - w
2024-04-30 21:24:16.843505 - a
2024-04-30 21:24:17.035620 - s
2024-04-30 21:24:17.185844 - d
2024-04-30 21:24:17.217184 - w
2024-04-30 21:24:28.046054 - a
2024-04-30 21:24:28.658909 - Key.space
2024-04-30 21:24:40.137541 - Key.cmd
2024-04-30 21:24:41.878097 - Key.cmd
2024-04-30 21:24:42.029592 - <21>
2024-04-30 21:24:42.168128 - c
2024-04-30 21:24:42.348776 - h
2024-04-30 21:24:42.443959 - r
2024-04-30 21:24:42.666591 - o
2024-04-30 21:24:42.907823 - m
2024-04-30 21:24:43.054452 - Key.backspace
2024-04-30 21:24:43.082365 - Key.backspace
2024-04-30 21:24:43.209932 - Key.ctrl_l
2024-04-30 21:24:43.335561 - Key.backspace
2024-04-30 21:24:43.521931 - <21>
2024-04-30 21:24:43.845037 - c
2024-04-30 21:24:44.027312 - Key.backspace
2024-04-30 21:24:44.209410 - Key.backspace
2024-04-30 21:24:44.300203 - Key.backspace
2024-04-30 21:24:44.648317 - c
2024-04-30 21:24:44.857382 - h
2024-04-30 21:24:45.312335 - r
2024-04-30 21:24:45.557766 - o
2024-04-30 21:24:45.673487 - m
2024-04-30 21:24:45.855380 - e
2024-04-30 21:24:49.907520 - Key.enter
2024-04-30 21:24:49.935646 - w
2024-04-30 21:24:50.083729 - a
2024-04-30 21:24:50.113629 - d
2024-04-30 21:24:50.140539 - w
2024-04-30 21:24:50.312127 - a
2024-04-30 21:24:50.343032 - d
2024-04-30 21:24:50.376433 - w
2024-04-30 21:24:50.402353 - a
2024-04-30 21:24:50.814018 - d
2024-04-30 21:24:51.122488 - Key.ctrl_l
2024-04-30 21:24:51.232154 - Key.backspace
2024-04-30 21:24:51.379256 - Key.backspace
2024-04-30 21:24:51.543425 - Key.backspace
2024-04-30 21:24:51.919577 - Key.backspace
2024-04-30 21:24:52.099191 - <21>
2024-04-30 21:24:52.199847 - d
2024-04-30 21:24:52.266623 - k
2024-04-30 21:24:52.477388 - s
2024-04-30 21:24:52.713598 - s
2024-04-30 21:24:53.019542 - d
2024-04-30 21:24:53.182001 - Key.backspace
2024-04-30 21:24:53.341708 - Key.backspace
2024-04-30 21:24:53.478246 - Key.backspace
2024-04-30 21:24:53.617988 - Key.backspace
2024-04-30 21:24:53.851584 - Key.backspace
2024-04-30 21:24:54.048923 - Key.backspace
2024-04-30 21:24:54.443627 - <21>
2024-04-30 21:24:54.625430 - w
2024-04-30 21:24:54.675269 - d
2024-04-30 21:24:55.058827 - a
2024-04-30 21:24:55.083743 - d
2024-04-30 21:24:55.294932 - j
2024-04-30 21:24:55.325836 - b
2024-04-30 21:24:55.359723 - a
2024-04-30 21:25:05.034716 - k
2024-04-30 21:25:05.357722 - \\
2024-04-30 21:25:05.504598 - Key.backspace
2024-04-30 21:25:05.644503 - Key.backspace
2024-04-30 21:25:05.788041 - Key.backspace
2024-04-30 21:25:05.937544 - Key.backspace
2024-04-30 21:25:06.082570 - Key.backspace
2024-04-30 21:25:06.215386 - Key.backspace
2024-04-30 21:25:06.357381 - Key.backspace
2024-04-30 21:25:06.504319 - Key.backspace
2024-04-30 21:25:06.662712 - Key.backspace
2024-04-30 21:25:07.241726 - Key.backspace
2024-04-30 21:25:07.473989 - <21>
2024-04-30 21:25:07.637442 - d
2024-04-30 21:25:07.775018 - k
2024-04-30 21:25:09.217370 - s
2024-04-30 21:25:09.422276 - s
2024-04-30 21:25:09.542873 - u
2024-04-30 21:25:09.664519 - d
2024-04-30 21:25:10.451942 - Key.space
2024-04-30 21:25:10.592316 - Key.backspace
2024-04-30 21:25:10.718582 - g
2024-04-30 21:25:10.865766 - k
2024-04-30 21:25:11.464768 - t
2024-04-30 21:25:11.569417 - d
2024-04-30 21:25:15.782096 - y
2024-04-30 21:25:16.285436 - Key.backspace
2024-04-30 21:25:16.315345 - Key.backspace
2024-04-30 21:25:16.346233 - Key.backspace
2024-04-30 21:25:16.377129 - Key.backspace
2024-04-30 21:25:16.408025 - Key.backspace
2024-04-30 21:25:16.433939 - Key.backspace
2024-04-30 21:25:16.464836 - Key.backspace
2024-04-30 21:25:16.494364 - Key.backspace
2024-04-30 21:25:16.532238 - Key.backspace
2024-04-30 21:25:16.561149 - Key.backspace
2024-04-30 21:25:16.591049 - Key.backspace
2024-04-30 21:25:16.632903 - Key.backspace
2024-04-30 21:25:16.651839 - Key.backspace
2024-04-30 21:25:16.681738 - Key.backspace
2024-04-30 21:25:16.722608 - Key.backspace
2024-04-30 21:25:17.309920 - <21>
2024-04-30 21:25:17.456438 - t
2024-04-30 21:25:17.881999 - k
2024-04-30 21:25:18.047585 - Key.backspace
2024-04-30 21:25:18.195089 - Key.backspace
2024-04-30 21:25:20.156913 - Key.backspace
2024-04-30 21:25:20.325972 - s
2024-04-30 21:25:21.908581 - s
2024-04-30 21:25:22.164019 - 7
2024-04-30 21:25:22.527107 - 3
2024-04-30 21:25:22.733862 - 8
2024-04-30 21:25:23.061457 - 2
2024-04-30 21:25:23.289670 - 8
2024-04-30 21:25:23.428501 - 1
2024-04-30 21:25:23.600543 - 9
2024-04-30 21:25:27.881701 - 3
2024-04-30 21:25:29.717771 - Key.enter
2024-04-30 21:25:29.890320 - Key.enter
2024-04-30 21:25:30.075524 - Key.enter
2024-04-30 21:25:30.711512 - Key.enter
2024-04-30 21:25:30.917444 - Key.enter
2024-04-30 21:25:31.103541 - Key.enter
2024-04-30 21:25:43.750045 - Key.enter
2024-04-30 21:25:43.989851 - w
2024-04-30 21:25:44.139359 - Key.backspace
2024-04-30 21:25:44.274158 - Key.backspace
2024-04-30 21:25:44.408285 - Key.backspace
2024-04-30 21:25:44.550017 - Key.backspace
2024-04-30 21:25:44.704797 - Key.backspace
2024-04-30 21:25:44.847737 - Key.backspace
2024-04-30 21:25:44.979290 - Key.backspace
2024-04-30 21:25:45.128030 - Key.backspace
2024-04-30 21:25:45.281279 - Key.backspace
2024-04-30 21:25:45.438110 - Key.backspace
2024-04-30 21:25:45.576357 - Key.backspace
2024-04-30 21:25:45.620210 - Key.backspace
2024-04-30 21:25:45.796798 - <21>
2024-04-30 21:25:45.977430 - d
2024-04-30 21:25:46.202348 - k
2024-04-30 21:25:46.398907 - s
2024-04-30 21:25:46.540061 - s
2024-04-30 21:25:46.606945 - u
2024-04-30 21:25:46.814290 - d
2024-04-30 21:25:46.865120 - g
2024-04-30 21:25:47.020606 - k
2024-04-30 21:25:47.072425 - t
2024-04-30 21:25:47.252240 - p
2024-04-30 21:25:47.331974 - d
2024-04-30 21:26:04.617605 - y
2024-04-30 21:26:04.987223 - d
2024-04-30 21:26:05.266738 - d
2024-04-30 21:26:12.187440 - d
2024-04-30 21:26:12.812478 - d
2024-04-30 21:26:12.880583 - d
2024-04-30 21:26:12.911501 - w
2024-04-30 21:26:12.978335 - a
2024-04-30 21:26:13.080995 - d
2024-04-30 21:26:13.107927 - a
2024-04-30 21:26:13.158745 - w
2024-04-30 21:26:13.259582 - d
2024-04-30 21:26:13.279523 - a
2024-04-30 21:26:13.349282 - w
2024-04-30 21:26:13.444963 - d
2024-04-30 21:26:13.466889 - w
2024-04-30 21:26:13.529686 - a
2024-04-30 21:26:13.646413 - d
2024-04-30 21:26:13.666347 - a
2024-04-30 21:26:13.716187 - w
2024-04-30 21:26:13.817840 - d
2024-04-30 21:26:13.855752 - w
2024-04-30 21:26:13.894623 - a
2024-04-30 21:26:14.033201 - d
2024-04-30 21:26:14.108435 - a
2024-04-30 21:26:16.424140 - d
2024-04-30 21:26:16.693025 - w
2024-04-30 21:26:17.002180 - a
2024-04-30 21:26:17.294158 - s
2024-04-30 21:26:17.586142 - d
2024-04-30 21:26:17.821881 - w
2024-04-30 21:26:18.069940 - a
2024-04-30 21:26:18.238065 - s
2024-04-30 21:26:18.434591 - d
2024-04-30 21:26:18.591265 - w
2024-04-30 21:26:18.686003 - a
2024-04-30 21:26:18.787844 - s
2024-04-30 21:26:19.440468 - d
2024-04-30 21:26:19.470368 - e
2024-04-30 21:26:20.031598 - d
2024-04-30 21:26:20.570177 - w
2024-04-30 21:26:20.731801 - q
2024-04-30 21:26:20.832511 - e
2024-04-30 21:26:20.969108 - q
2024-04-30 21:26:21.081814 - e
2024-04-30 21:26:21.220115 - q
2024-04-30 21:26:21.360879 - e
2024-04-30 21:26:21.472861 - q
2024-04-30 21:26:21.926902 - e
2024-04-30 21:26:21.952815 - q
2024-04-30 21:26:22.087364 - e
2024-04-30 21:26:22.253842 - q
2024-04-30 21:26:22.342204 - e
2024-04-30 21:26:22.490331 - q
2024-04-30 21:26:22.629688 - e
2024-04-30 21:26:22.710430 - q
2024-04-30 21:26:22.871135 - e
2024-04-30 21:26:22.983406 - q
2024-04-30 21:26:23.099013 - e
2024-04-30 21:26:23.218120 - q
